_id,user_id,session_id,event_type,data.key,data.press_time,data.release_time,data.hold_time,data.flight_time,key,timestamp,hold_time,user
6a5fdc14a5303295dabd932e,,,keydown,,,,,,Backspace,1784667153305.0,,
6a5fdc14a5303295dabd932f,,,keydown,,,,,,Backspace,1784667153455.0,,
6a5fdc14a5303295dabd9330,,,keydown,,,,,,Backspace,1784667153584.0,,
6a5fdc14a5303295dabd9331,,,keydown,,,,,,a,1784667153678.0,,
6a5fdc14a5303295dabd9332,,,keydown,,,,,,s,1784667153778.0,,
6a5fdc14a5303295dabd9333,,,keydown,,,,,,d,1784667153874.0,,
6a5fdc14a5303295dabd9334,,,keydown,,,,,,f,1784667154458.0,,
6a5fdc14a5303295dabd9335,,,keydown,,,,,,f,1784667154659.0,,
6a5fdc14a5303295dabd9336,,,keydown,,,,,,d,1784667154710.0,,
6a5fdc14a5303295dabd9337,,,keydown,,,,,,s,1784667154799.0,,
6a5fdc14a5303295dabd9338,,,keydown,,,,,,a,1784667155028.0,,
6a5fdc46a5303295dabd9475,,,keydown,,,,,,Meta,1784667198958.0,,
6a5fdc46a5303295dabd9476,,,keydown,,,,,,Shift,1784667199069.0,,
6a5fdc64a5303295dabd950d,,,keydown,,,,,,Meta,1784667230457.0,,
6a5fdc64a5303295dabd950e,,,keydown,,,,,,Shift,1784667230545.0,,
6a5fdf5ca5303295dabd9570,,,keydown,,,,,,a,1784667992947.0,,
6a5fdf5ca5303295dabd9571,,,keydown,,,,,,s,1784667993045.0,,
6a5fdf5ca5303295dabd9572,,,keydown,,,,,,d,1784667993116.0,,
6a5fdf5ca5303295dabd9573,,,keydown,,,,,,f,1784667993355.0,,
6a5fdf5ca5303295dabd9574,,,keydown,,,,,,d,1784667993519.0,,
6a5fdf5ca5303295dabd9575,,,keydown,,,,,,s,1784667993668.0,,
6a5fdf5ca5303295dabd9576,,,keydown,,,,,,a,1784667993963.0,,
6a5fdf81a5303295dabd963d,,,keydown,,,,,,Meta,1784668027415.0,,
6a5fdf81a5303295dabd963e,,,keydown,,,,,,Shift,1784668027484.0,,
6a5fe033a5303295dabd96db,,,keydown,,,,,,CapsLock,1784668203411.0,,
6a5fe033a5303295dabd96dc,,,keydown,,,,,,L,1784668203516.0,,
6a5fe033a5303295dabd96dd,,,keydown,,,,,,CapsLock,1784668203616.0,,
6a5fe033a5303295dabd96de,,,keydown,,,,,,a,1784668203722.0,,
6a5fe033a5303295dabd96df,,,keydown,,,,,,u,1784668203785.0,,
6a5fe033a5303295dabd96e0,,,keydown,,,,,,r,1784668203963.0,,
6a5fe033a5303295dabd96e1,,,keydown,,,,,,a,1784668204037.0,,
6a5fe033a5303295dabd96e2,,,keydown,,,,,, ,1784668204132.0,,
6a5fe033a5303295dabd96e3,,,keydown,,,,,,CapsLock,1784668204254.0,,
6a5fe033a5303295dabd96e4,,,keydown,,,,,,S,1784668204360.0,,
6a5fe033a5303295dabd96e5,,,keydown,,,,,,CapsLock,1784668204461.0,,
6a5fe033a5303295dabd96e6,,,keydown,,,,,,a,1784668204517.0,,
6a5fe033a5303295dabd96e7,,,keydown,,,,,,n,1784668204636.0,,
6a5fe033a5303295dabd96e8,,,keydown,,,,,,t,1784668204737.0,,
6a5fe033a5303295dabd96e9,,,keydown,,,,,,o,1784668204830.0,,
6a5fe033a5303295dabd96ea,,,keydown,,,,,,s,1784668204938.0,,
6a5fe033a5303295dabd96eb,,,keydown,,,,,, ,1784668205187.0,,
6a5fe033a5303295dabd96ec,,,keydown,,,,,,CapsLock,1784668205399.0,,
6a5fe033a5303295dabd96ed,,,keydown,,,,,,O,1784668205399.0,,
6a5fe033a5303295dabd96ee,,,keydown,,,,,,CapsLock,1784668205487.0,,
6a5fe033a5303295dabd96ef,,,keydown,,,,,,l,1784668205532.0,,
6a5fe033a5303295dabd96f0,,,keydown,,,,,,i,1784668205688.0,,
6a5fe033a5303295dabd96f1,,,keydown,,,,,,v,1784668205759.0,,
6a5fe033a5303295dabd96f2,,,keydown,,,,,,e,1784668205831.0,,
6a5fe033a5303295dabd96f3,,,keydown,,,,,,i,1784668205886.0,,
6a5fe033a5303295dabd96f4,,,keydown,,,,,,r,1784668205985.0,,
6a5fe033a5303295dabd96f5,,,keydown,,,,,,a,1784668206049.0,,
6a5fe033a5303295dabd96f6,,,keydown,,,,,,l,1784668207476.0,,
6a5fe033a5303295dabd96f7,,,keydown,,,,,,a,1784668207596.0,,
6a5fe033a5303295dabd96f8,,,keydown,,,,,,u,1784668207710.0,,
6a5fe033a5303295dabd96f9,,,keydown,,,,,,r,1784668207801.0,,
6a5fe033a5303295dabd96fa,,,keydown,,,,,,a,1784668207848.0,,
6a5fe033a5303295dabd96fb,,,keydown,,,,,,Shift,1784668209145.0,,
6a5fe033a5303295dabd96fc,,,keydown,,,,,,@,1784668209298.0,,
6a5fe033a5303295dabd96fd,,,keydown,,,,,,e,1784668209554.0,,
6a5fe033a5303295dabd96fe,,,keydown,,,,,,m,1784668209638.0,,
6a5fe033a5303295dabd96ff,,,keydown,,,,,,p,1784668209759.0,,
6a5fe033a5303295dabd9700,,,keydown,,,,,,r,1784668209824.0,,
6a5fe033a5303295dabd9701,,,keydown,,,,,,e,1784668209869.0,,
6a5fe033a5303295dabd9702,,,keydown,,,,,,s,1784668210042.0,,
6a5fe033a5303295dabd9703,,,keydown,,,,,,a,1784668210136.0,,
6a5fe033a5303295dabd9704,,,keydown,,,,,,.,1784668210377.0,,
6a5fe033a5303295dabd9705,,,keydown,,,,,,c,1784668210556.0,,
6a5fe033a5303295dabd9706,,,keydown,,,,,,o,1784668210681.0,,
6a5fe033a5303295dabd9707,,,keydown,,,,,,m,1784668210773.0,,
6a5fe03da5303295dabd97a4,,,keydown,,,,,,CapsLock,1784668212435.0,,
6a5fe03da5303295dabd97a5,,,keydown,,,,,,T,1784668212508.0,,
6a5fe03da5303295dabd97a6,,,keydown,,,,,,CapsLock,1784668212603.0,,
6a5fe03da5303295dabd97a7,,,keydown,,,,,,e,1784668212807.0,,
6a5fe03da5303295dabd97a8,,,keydown,,,,,,s,1784668212956.0,,
6a5fe03da5303295dabd97a9,,,keydown,,,,,,t,1784668213040.0,,
6a5fe03da5303295dabd97aa,,,keydown,,,,,,e,1784668213240.0,,
6a5fe03da5303295dabd97ab,,,keydown,,,,,, ,1784668213677.0,,
6a5fe03da5303295dabd97ac,,,keydown,,,,,,t,1784668213864.0,,
6a5fe03da5303295dabd97ad,,,keydown,,,,,,e,1784668213956.0,,
6a5fe03da5303295dabd97ae,,,keydown,,,,,,s,1784668214118.0,,
6a5fe03da5303295dabd97af,,,keydown,,,,,,t,1784668214205.0,,
6a5fe03da5303295dabd97b0,,,keydown,,,,,,e,1784668214318.0,,
6a5fe03da5303295dabd97b1,,,keydown,,,,,, ,1784668214434.0,,
6a5fe03da5303295dabd97b2,,,keydown,,,,,,t,1784668214629.0,,
6a5fe03da5303295dabd97b3,,,keydown,,,,,,e,1784668214695.0,,
6a5fe03da5303295dabd97b4,,,keydown,,,,,,s,1784668214863.0,,
6a5fe03da5303295dabd97b5,,,keydown,,,,,,t,1784668215771.0,,
6a5fe03da5303295dabd97b6,,,keydown,,,,,,e,1784668216064.0,,
6a5fe03da5303295dabd97b7,,,keydown,,,,,, ,1784668216189.0,,
6a5fe03da5303295dabd97b8,,,keydown,,,,,,t,1784668216341.0,,
6a5fe03da5303295dabd97b9,,,keydown,,,,,,e,1784668216424.0,,
6a5fe03da5303295dabd97ba,,,keydown,,,,,,s,1784668216577.0,,
6a5fe03da5303295dabd97bb,,,keydown,,,,,,t,1784668216689.0,,
6a5fe03da5303295dabd97bc,,,keydown,,,,,,e,1784668216765.0,,
6a5fe03da5303295dabd97bd,,,keydown,,,,,, ,1784668216887.0,,
6a5fe03da5303295dabd97be,,,keydown,,,,,,t,1784668217082.0,,
6a5fe03da5303295dabd97bf,,,keydown,,,,,,e,1784668217164.0,,
6a5fe03da5303295dabd97c0,,,keydown,,,,,,s,1784668217318.0,,
6a5fe03da5303295dabd97c1,,,keydown,,,,,,t,1784668217466.0,,
6a5fe03da5303295dabd97c2,,,keydown,,,,,,e,1784668217610.0,,
6a5fe03da5303295dabd97c3,,,keydown,,,,,, ,1784668217848.0,,
6a5fe03da5303295dabd97c4,,,keydown,,,,,,t,1784668218031.0,,
6a5fe03da5303295dabd97c5,,,keydown,,,,,,e,1784668218110.0,,
6a5fe03da5303295dabd97c6,,,keydown,,,,,,s,1784668218269.0,,
6a5fe03da5303295dabd97c7,,,keydown,,,,,,t,1784668218402.0,,
6a5fe03da5303295dabd97c8,,,keydown,,,,,,e,1784668218461.0,,
6a5fe03da5303295dabd97c9,,,keydown,,,,,,.,1784668219375.0,,
6a5fe03da5303295dabd97ca,,,keydown,,,,,,ArrowRight,1784668220599.0,,
